               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.017533,           0.0045554,                   0,             0.95599,             0.97978,             0.97211,             0.73909,            0.018991,           0.0035332,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.017502,           0.0044356,                   0,             0.95943,             0.97625,               0.977,             0.74052,            0.019165,           0.0034697,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.017551,            0.004679,                   0,             0.95051,             0.97894,             0.96867,             0.73768,            0.019149,           0.0035119,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.017089,           0.0044882,                   0,             0.95549,             0.97668,             0.97426,             0.75326,            0.018477,           0.0034416,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.016303,           0.0043718,                   0,             0.96004,             0.97136,             0.97284,             0.74656,            0.019052,           0.0034803,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.017231,           0.0044857,                   0,             0.95622,             0.97557,             0.96867,              0.7478,             0.01856,           0.0034377,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.016716,           0.0044739,                   0,             0.96091,             0.97324,             0.96763,             0.74501,             0.01852,           0.0034379,                   0,            0.003961,            0.003961,            0.003961
                  63,             0.01655,           0.0041983,                   0,             0.95981,             0.97978,              0.9728,             0.75018,            0.018276,           0.0033794,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.017158,           0.0043897,                   0,             0.96577,             0.97444,             0.97603,             0.74994,             0.01862,           0.0034299,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.01685,           0.0044766,                   0,             0.95943,             0.97629,             0.97443,             0.75661,            0.018274,           0.0033817,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.016472,           0.0044055,                   0,             0.96576,             0.97425,             0.97909,             0.75362,            0.018213,           0.0033715,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.016159,           0.0043853,                   0,             0.96499,             0.97533,             0.97703,             0.76267,            0.017924,           0.0033584,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.01665,           0.0043712,                   0,             0.95944,              0.9766,             0.97449,             0.75012,            0.018275,           0.0034044,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.016529,           0.0043283,                   0,             0.96321,             0.97725,             0.97447,             0.75894,            0.017775,           0.0033569,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.016069,           0.0042222,                   0,             0.96241,             0.97473,             0.97452,             0.75798,            0.017954,           0.0033349,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.015808,           0.0043336,                   0,             0.96348,             0.97473,             0.97044,             0.75213,            0.017814,           0.0033946,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.015804,           0.0042743,                   0,             0.95797,             0.97932,             0.97725,             0.76289,            0.017659,           0.0032931,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.016095,           0.0042175,                   0,             0.96419,             0.97473,             0.97661,             0.76413,            0.017718,           0.0032977,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.015437,           0.0041339,                   0,             0.95729,              0.9818,             0.97747,             0.76381,            0.017691,           0.0032612,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.01566,           0.0044523,                   0,             0.96711,             0.97136,             0.97643,             0.76158,            0.017406,           0.0032964,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.015485,           0.0041598,                   0,             0.96367,              0.9781,             0.97668,             0.76551,            0.017434,           0.0032904,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.015337,           0.0043285,                   0,             0.96189,             0.97894,             0.97386,             0.75864,            0.017718,           0.0033151,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.015766,           0.0042251,                   0,             0.96669,             0.97795,             0.97803,             0.76859,            0.017398,           0.0032951,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.014767,           0.0040556,                   0,             0.96661,             0.97557,             0.97971,             0.77473,             0.01741,           0.0033035,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.014817,           0.0042016,                   0,             0.96552,             0.98062,             0.97596,             0.76862,            0.017216,           0.0032556,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.015024,           0.0040634,                   0,             0.96259,              0.9755,             0.97337,             0.76616,            0.017114,           0.0032628,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.014803,           0.0040051,                   0,              0.9634,              0.9757,             0.97472,             0.76976,            0.017173,           0.0032372,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.014829,           0.0041438,                   0,             0.96264,             0.97696,             0.97865,             0.77735,            0.017033,           0.0032183,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.014935,            0.004039,                   0,              0.9596,             0.98042,             0.98106,             0.77452,            0.017179,           0.0032308,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.014041,           0.0041147,                   0,             0.96851,             0.97473,             0.97986,             0.77769,            0.017005,           0.0032373,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.014206,           0.0038653,                   0,             0.96056,             0.97978,             0.97771,             0.77592,            0.016917,            0.003233,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.014294,           0.0040365,                   0,             0.96417,              0.9781,             0.97511,             0.77356,            0.017092,           0.0032758,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.014413,           0.0040293,                   0,              0.9674,             0.97509,             0.97315,             0.77247,            0.016945,           0.0032203,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.014224,           0.0038068,                   0,             0.96449,             0.97725,             0.97736,             0.77779,            0.016934,           0.0032079,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.013988,           0.0039206,                   0,             0.96541,             0.97557,             0.97651,             0.77879,            0.016641,           0.0032058,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.014101,           0.0039653,                   0,             0.96744,             0.97613,              0.9758,             0.77353,            0.016656,           0.0032109,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.014152,           0.0039318,                   0,             0.96666,             0.97693,             0.97908,             0.77687,            0.016632,           0.0031989,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.014006,           0.0039593,                   0,             0.96859,             0.97557,             0.97834,             0.78076,            0.016574,           0.0031847,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.013784,           0.0039282,                   0,               0.968,             0.97557,             0.97789,              0.7842,            0.016502,           0.0031854,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.013616,           0.0038489,                   0,             0.96801,              0.9781,             0.97611,             0.77956,             0.01663,           0.0032005,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.013557,           0.0039062,                   0,             0.96594,             0.97473,             0.97604,             0.77693,            0.016557,           0.0031984,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.013894,           0.0039723,                   0,             0.96805,             0.97388,              0.9751,             0.78122,            0.016513,           0.0031908,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.013909,           0.0042323,                   0,             0.96686,             0.97388,             0.97413,             0.78022,            0.016467,           0.0031809,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.013286,           0.0038285,                   0,             0.96498,             0.97495,             0.97588,             0.78321,            0.016474,           0.0031796,                   0,            0.000298,            0.000298,            0.000298
